3572178765981602799|10|2022|642
3572178844940524|01|2029|121
3572177265459527|08|2027|935
3572174216316262242|08|2023|872
3572179186600795337|06|2023|406
3572175298885072|02|2027|592
3572178473002680809|03|2026|742
3572178145852261|12|2025|979
3572171315561150|07|2024|722
3572172196274096299|06|2022|131
3572179693799228459|11|2025|609
3572173173304057863|10|2029|109
3572172238000193|04|2025|494
3572172813711558208|04|2024|589
3572179636260006|09|2024|215
3572178107891380|08|2024|121
3572171573669986873|11|2027|678
3572177549144440|08|2028|433
3572171525820729956|03|2030|986
3572171311083134|08|2030|705
3572172176499817745|08|2030|949
3572173702515070|10|2022|878
3572177163251042|05|2025|678
3572171555485401930|12|2026|556
3572173704625410652|06|2026|188
3572177696898170623|01|2023|859
3572171508838696|12|2028|508
3572171318833093556|09|2025|434
3572172197690828|07|2029|837
3572173174857745|04|2029|769
3572175659024120278|02|2028|393
3572178057351182275|07|2029|519
3572178382501437142|02|2029|887
3572178516313116697|02|2029|334
3572173806602420479|01|2026|796
3572177621202435686|09|2024|305
3572173407838462|05|2027|286
3572175863590467713|09|2030|319
3572178904529867859|05|2023|381
3572173735308790|10|2026|147
3572174228107415202|12|2026|688
3572177972483830818|10|2026|482
3572179605532916471|10|2025|660
3572171880000873|04|2022|284
3572175203517281|12|2025|629
3572176292614155139|06|2026|757
3572173434064525337|03|2025|687
3572177454071364|02|2028|317
3572175401041289764|08|2025|102
3572176211770714|06|2026|872
3572171087137726|09|2022|732
3572174615111063608|02|2025|966
3572176684558307|09|2030|634
3572174207581138|12|2025|152
3572177870910708|01|2025|864
3572178295425728|12|2028|559
3572174760085212|12|2026|219
3572171892278744758|03|2029|611
3572176467978448714|12|2028|552
3572171386290191569|01|2028|418
3572179130171630929|08|2028|713
3572178926262714|01|2026|172
3572174949862973479|12|2030|393
3572175556537159|10|2026|895
3572177554520187434|04|2030|507
3572171497221188895|06|2023|971
3572178968050977130|01|2028|486
3572172241839358659|08|2027|602
3572172782848177374|03|2026|729
3572177544402196223|02|2029|171
3572172435305292778|12|2027|813
3572177072237075750|09|2024|143
3572178451327688095|03|2027|199
3572173374922443739|02|2023|783
3572177303691222|02|2023|579
